Frequency(Hz)	Amplitude
1.724243166039999835e+02	-1.051699897599999218e+02
1.728057863309999789e+02	-1.051699897596552233e+02
1.731872560580000027e+02	-1.051699897599986855e+02
1.735687257849999980e+02	-1.051699897599999787e+02
1.739501955119999934e+02	-1.051699897599777529e+02
1.743316652389999888e+02	1.048509875360427868e+20
1.747131349659999842e+02	-1.051699897599948059e+02
1.750946046929999795e+02	-1.051699897599999218e+02
1.754760744200000033e+02	-1.051699897599986144e+02
1.758575441469999987e+02	-1.051699897599986855e+02
1.762390138739999941e+02	-1.051699897599999787e+02
1.766204836009999894e+02	-1.051699897543971503e+02
1.770019533279999848e+02	1.048509875360427868e+20
1.773834230549999802e+02	-1.051699897599948059e+02
1.777648927820000040e+02	-1.051699897599999218e+02
1.781463625089999994e+02	-1.051699896707467730e+02
1.785278322359999947e+02	-1.051699897599986855e+02
1.789093019629999901e+02	-1.051699897599999787e+02
1.792907716899999855e+02	-1.051699893954647962e+02
1.796722414169999809e+02	1.048509875360427868e+20
1.800537111440000047e+02	-1.051699897599948059e+02
1.804351808710000000e+02	-1.051699897599999218e+02
1.808166505979999954e+02	-1.051699897599133351e+02
1.811981203249999908e+02	-1.051699897599986855e+02
1.815795900519999861e+02	-1.051699897599999787e+02
1.819610597789999815e+02	-1.051699893974283384e+02
1.823425295059999769e+02	1.048509875360427868e+20
1.827239992330000007e+02	-1.051699897599948059e+02
1.831054689599999961e+02	-1.051699897599999218e+02
1.834869386869999914e+02	-1.051699897599784634e+02
1.838684084139999868e+02	-1.051699897599986855e+02
1.842498781409999822e+02	-1.051699897599999787e+02
1.846313478679999776e+02	-1.051699897599946496e+02
1.850128175950000013e+02	1.048509875360427868e+20
1.853942873219999967e+02	-1.051699897599948059e+02
1.857757570489999921e+02	-1.051699897599999218e+02
1.861572267759999875e+02	-1.051699893930917824e+02
1.865386965029999828e+02	-1.051699897599986855e+02
1.869201662299999782e+02	-1.051699897599999787e+02
1.873016359570000020e+02	-1.051699897599777529e+02
1.876831056839999974e+02	1.048509875360427868e+20
1.880645754109999928e+02	-1.051699897599948059e+02
1.884460451379999881e+02	-1.051699897599999218e+02
1.888275148649999835e+02	-1.051699897599944933e+02
1.892089845919999789e+02	-1.051699897599986855e+02
1.895904543190000027e+02	-1.051699897599999787e+02
1.899719240459999980e+02	-1.051699897599945928e+02
1.903533937729999934e+02	1.048509875360427868e+20
1.907348634999999888e+02	-1.051699897599948059e+02
1.911163332269999842e+02	-1.051699897599999218e+02
1.914978029539999795e+02	-1.051699897585976942e+02
1.918792726810000033e+02	-1.051699897599986855e+02
1.922607424079999987e+02	-1.051699897599999787e+02
1.926422121349999941e+02	-1.051699897545514091e+02
1.930236818619999895e+02	1.048509875360427868e+20
1.934051515889999848e+02	-1.051699897599948059e+02
1.937866213159999802e+02	-1.051699897599999218e+02
1.941680910430000040e+02	-1.051699897373156176e+02
1.945495607699999994e+02	-1.051699897599986855e+02
